ADM1_EN;Longitude;Latitude
Bangkok;100,6;13,8
Samut Prakan;100,7;13,6
Nonthaburi;100,4;13,9
Pathum Thani;100,7;14,1
Phra Nakhon Si Ayutthaya;100,5;14,3
Ang Thong;100,3;14,6
Lop Buri;100,9;15,1
Sing Buri;100,3;14,9
Chai Nat;100,0;15,1
Saraburi;101,0;14,6
Chon Buri;101,2;13,2
Rayong;101,4;12,9
Chanthaburi;102,1;12,9
Trat;102,5;12,4
Chachoengsao;101,4;13,6
Prachin Buri;101,7;14,0
Nakhon Nayok;101,2;14,2
Sa Kaeo;102,3;13,8
Nakhon Ratchasima;102,1;15,0
Buri Ram;103,0;14,8
Surin;103,7;14,9
Si Sa Ket;104,4;14,9
Ubon Ratchathani;105,1;15,2
Yasothon;104,3;15,9
Chaiyaphum;101,8;16,0
Amnat Charoen;104,7;15,9
Bueng Kan;103,7;18,1
Nong Bua Lam Phu;102,3;17,2
Khon Kaen;102,6;16,4
Udon Thani;102,9;17,4
Loei;101,6;17,4
Nong Khai;102,8;17,9
Maha Sarakham;103,2;16,0
Roi Et;103,8;15,9
Kalasin;103,6;16,6
Sakon Nakhon;103,8;17,4
Nakhon Phanom;104,4;17,4
Mukdahan;104,5;16,6
Chiang Mai;98,7;18,8
Lamphun;99,0;18,1
Lampang;99,5;18,3
Uttaradit;100,5;17,7
Phrae;100,1;18,2
Nan;100,8;18,8
Phayao;100,2;19,2
Chiang Rai;99,9;19,8
Mae Hong Son;98,0;18,8
Nakhon Sawan;100,2;15,7
Uthai Thani;99,5;15,4
Kamphaeng Phet;99,5;16,3
Tak;98,8;16,7
Sukhothai;99,7;17,3
Phitsanulok;100,5;17,0
Phichit;100,3;16,3
Phetchabun;101,1;16,3
Ratchaburi;99,6;13,5
Kanchanaburi;99,0;14,6
Suphan Buri;99,9;14,6
Nakhon Pathom;100,1;13,9
Samut Sakhon;100,2;13,6
Samut Songkhram;100,0;13,4
Phetchaburi;99,6;12,9
Prachuap Khiri Khan;99,6;11,9
Nakhon Si Thammarat;99,8;8,4
Krabi;99,0;8,2
Phangnga;98,4;8,7
Phuket;98,3;8,0
Surat Thani;99,1;9,0
Ranong;98,7;10,0
Chumphon;99,1;10,3
Songkhla;100,5;6,9
Satun;100,0;6,9
Trang;99,6;7,5
Phatthalung;100,1;7,5
Pattani;101,3;6,7
Yala;101,2;6,2
Narathiwat;101,7;6,2